Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
SRR21014913_1 - polya	(1, 0.021851225134238473)	(2, 0.03863936151786071)	(3, 0.06821845895567133)	(4, 0.0900696840899098)	(5, 0.12337947850185868)	(6, 0.168147842191518)	(7, 0.21717985956590677)	(8, 0.2995216713522444)	(9, 0.46287290314844176)	(10, 0.7627942920336296)	(12, 1.0202123832491705)	(14, 1.2231356508067632)	(16, 1.403141779808935)	(18, 1.5751535581522391)	(20, 1.734241136263707)	(22, 1.8990579990140302)	(24, 2.06467429683024)	(26, 2.2298908771135064)	(28, 2.422554727992219)	(30, 2.5988301600202526)	(32, 2.7757717879365247)	(34, 2.9457849786151122)	(36, 3.1435119182444407)	(38, 3.314191304811267)	(40, 3.482872103713376)	(42, 3.625438023796517)	(44, 3.787723342171532)	(46, 3.9236273033722835)	(48, 4.061796330593047)	(50, 4.195701704129082)	(52, 4.330539751908651)	(54, 4.445791640573994)	(56, 4.563974791147588)	(58, 4.691617923334177)	(60, 4.82618949275845)	(62, 4.964092041623919)	(64, 5.095865588317589)	(66, 5.227772374188906)	(68, 5.361278030191998)	(70, 5.480127376653831)	(72, 5.609769096505136)	(74, 5.725420702703422)	(76, 5.841738504789948)	(78, 5.959655177008248)	(80, 6.089696614392496)	(82, 6.2262667714814866)	(84, 6.376960281401143)	(86, 6.511531850825417)	(88, 6.64370511505203)	(90, 6.770682051350379)	(92, 6.885001265772187)	(94, 7.005449482365795)	(96, 7.141886400277137)	(98, 7.263134051936632)	(100, 7.3763873529372574)	(102, 7.510692444006235)	(104, 7.6551237125764455)	(106, 7.785298389138342)	(108, 7.895753667408365)	(110, 8.01273766538313)	(112, 8.123859139541391)	(114, 8.257098317189186)	(116, 8.38687327621814)	(118, 8.543162831599004)	(120, 8.712909543922294)	(122, 8.87586105818555)	(124, 9.008300800767458)	(126, 9.143938283612915)	(128, 9.268783393068897)	(130, 9.389897805550746)	(132, 9.42160872983092)
SRR21014913_2 - polya	(1, 0.0)	(2, 0.0005329567105911823)	(3, 0.0013323917764779555)	(4, 0.0029312619082515023)	(5, 0.00479661039532064)	(6, 0.011192090922414827)	(7, 0.018387006515395786)	(8, 0.025315443753081156)	(9, 0.029312619082515024)	(10, 0.05835875980973445)	(15, 0.12055480793572544)	(20, 0.18317722143018933)	(25, 0.250169879951501)	(30, 0.3251035934606212)	(35, 0.3980120714694949)	(40, 0.4572235620161752)	(45, 0.5190998361158116)	(50, 0.5829480500446351)	(55, 0.6402941921042463)	(60, 0.7015309181511732)	(65, 0.7626610528559818)	(70, 0.8244840312845589)	(75, 0.8863070097131359)	(80, 0.9449322478781662)	(85, 1.0043569211090828)	(90, 1.063408524642586)	(95, 1.116597604359586)	(100, 1.176928303998508)	(105, 1.245040171612061)	(110, 1.3135251089230278)	(115, 1.3742821739304225)	(120, 1.440795171412202)	(125, 1.5036307675909024)	(130, 1.561509866361105)	(135, 1.627383315790175)	(140, 1.655896499806803)																																			
SRR21014913_2 - polyg	(1, 0.04263653684729458)	(2, 0.04290301520259017)	(3, 0.04423540697906812)	(4, 0.0450348420449549)	(5, 0.046633712176728445)	(6, 0.04690019053202404)	(7, 0.04769962559791081)	(8, 0.0479661039532064)	(9, 0.04849906066379758)	(10, 0.05068418317722143)	(15, 0.054041810453945884)	(20, 0.05574727192783766)	(25, 0.058838420849266514)	(30, 0.06139661306010419)	(35, 0.06235593513916832)	(40, 0.06374162258670539)	(45, 0.06544708406059718)	(50, 0.0675789109029619)	(55, 0.07082994683756813)	(60, 0.0731216606931102)	(65, 0.0763194009566573)	(70, 0.07893088883855408)	(75, 0.08255499447057413)	(80, 0.08724501352377653)	(85, 0.09065593647156009)	(90, 0.09374708539298895)	(95, 0.09699812132759515)	(100, 0.1008354096438517)	(105, 0.10563202003917231)	(110, 0.11074840446084766)	(115, 0.1172504763300601)	(120, 0.1222602694096172)	(125, 0.12972166335789376)	(130, 0.1400610235433627)	(135, 0.14848173957070337)	(140, 0.156422794558512)																																			
SRR21014914_1 - polya	(1, 0.01355862640121075)	(2, 0.028399825570103596)	(3, 0.04379069878228877)	(4, 0.07219052435239237)	(5, 0.10608709035541923)	(6, 0.15610742829502106)	(7, 0.23489404116692134)	(8, 0.333285694916248)	(9, 0.5192587462301522)	(10, 0.8641792083960878)	(12, 1.1230756827867743)	(14, 1.389301144421358)	(16, 1.6507627643474088)	(18, 1.8275745816064406)	(20, 1.9802007409606106)	(22, 2.1415300726669084)	(24, 2.3018516686271706)	(26, 2.465471308847187)	(28, 2.6490624393068245)	(30, 2.7890460956652703)	(32, 2.934434880116091)	(34, 3.0810146249940455)	(36, 3.2485735958576565)	(38, 3.398268160314267)	(40, 3.533946036666923)	(42, 3.6721890585549435)	(44, 3.8033779302207122)	(46, 3.927421039323681)	(48, 4.052838333534881)	(50, 4.174133072421387)	(52, 4.306054842811546)	(54, 4.438068225542254)	(56, 4.567424850397048)	(58, 4.702736277387509)	(60, 4.8276038975554165)	(62, 4.964381121994657)	(64, 5.106563474526273)	(66, 5.24361553598716)	(68, 5.371872812755369)	(70, 5.494908186112301)	(72, 5.61180553265247)	(74, 5.723389363440813)	(76, 5.849906005738597)	(78, 5.968085925046447)	(80, 6.087640029462529)	(82, 6.216721817295677)	(84, 6.354140328118759)	(86, 6.495131720223241)	(88, 6.622839322948158)	(90, 6.762548142284958)	(92, 6.906287904605902)	(94, 7.026849744768019)	(96, 7.139899373005141)	(98, 7.2689811608382895)	(100, 7.402551953358325)	(102, 7.541253036949089)	(104, 7.682152816713023)	(106, 7.821037124984883)	(108, 7.956989838359187)	(110, 8.096240595993242)	(112, 8.21332116721451)	(114, 8.342128118026011)	(116, 8.466720901172271)	(118, 8.598001385178588)	(120, 8.730197992590394)	(122, 8.86019590382903)	(124, 8.993583471667968)	(126, 9.122115585457824)	(128, 9.243776773706525)	(130, 9.35023031342414)	(132, 9.379637874740279)
SRR21014914_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0014657974487795405)	(4, 0.0018322468109744255)	(5, 0.004580617027436063)	(6, 0.007878661287190029)	(7, 0.01649022129876983)	(8, 0.021070838326205894)	(9, 0.026750803440226612)	(10, 0.05511398407411072)	(15, 0.1103012580206604)	(20, 0.17640872296061771)	(25, 0.24130690500533186)	(30, 0.3105658344601651)	(35, 0.37403486399231917)	(40, 0.42779298542630884)	(45, 0.48276038975554164)	(50, 0.5458263249892814)	(55, 0.6026992660019276)	(60, 0.660341750675183)	(65, 0.7187537790090477)	(70, 0.7847879540765659)	(75, 0.8543400430211552)	(80, 0.9135216150156291)	(85, 0.9726298971376639)	(90, 1.0233831338016557)	(95, 1.0778375090238157)	(100, 1.130899376669635)	(105, 1.191216941686913)	(110, 1.2496289700207774)	(115, 1.298476670001356)	(120, 1.3465914712575442)	(125, 1.3946696275775134)	(130, 1.4451663496879683)	(135, 1.5010865223589078)	(140, 1.521497751833163)																																			
SRR21014914_2 - polyg	(1, 0.05148613538838136)	(2, 0.05258548347496601)	(3, 0.05331838219935578)	(4, 0.053501606880453224)	(5, 0.054234505604843)	(6, 0.054417730285940435)	(7, 0.054417730285940435)	(8, 0.05460095496703788)	(9, 0.054967404329232764)	(10, 0.056946230885085145)	(15, 0.06035420995349757)	(20, 0.06288271055264229)	(25, 0.06438515293764131)	(30, 0.06596088519507932)	(35, 0.06749997251629783)	(40, 0.06995518324300357)	(45, 0.07328987243897701)	(50, 0.07596495278299968)	(55, 0.0787866128719003)	(60, 0.08050892487421626)	(65, 0.08340387483555585)	(70, 0.08684849884018776)	(75, 0.08893726020469861)	(80, 0.09183221016603822)	(85, 0.09556999366042604)	(90, 0.10062699485871544)	(95, 0.10575728592944385)	(100, 0.11026461308444094)	(105, 0.11675076679529037)	(110, 0.1249958774446753)	(115, 0.13195841532637814)	(120, 0.13888430827186146)	(125, 0.14808218726295305)	(130, 0.15999179153428683)	(135, 0.1737702875528145)	(140, 0.18230855769195534)																																			
SRR21015008_1 - polya	(1, 0.014454450766298456)	(2, 0.03230994877172596)	(3, 0.06093542970106212)	(4, 0.1054324644130005)	(5, 0.15503106998363245)	(6, 0.21256545244556552)	(7, 0.3120460841900902)	(8, 0.4411441689753637)	(9, 0.6290520289372435)	(10, 0.8973804850743625)	(12, 1.0929407013242827)	(14, 1.2603714227005731)	(16, 1.4307780604111016)	(18, 1.5931072109286986)	(20, 1.7475005845549942)	(22, 1.9014688272763989)	(24, 2.0614597578170946)	(26, 2.2383850694026206)	(28, 2.4076580247001056)	(30, 2.568853492804659)	(32, 2.714885958634763)	(34, 2.872326103746112)	(36, 3.0401819560272934)	(38, 3.212289117357386)	(40, 3.396441654326061)	(42, 3.55388179943741)	(44, 3.697930321044688)	(46, 3.8467969929073993)	(48, 3.971431203191316)	(50, 4.120156164752396)	(52, 4.262575017890926)	(54, 4.395995266875925)	(56, 4.535083927926141)	(58, 4.68118724890706)	(60, 4.819850779052383)	(62, 4.960285687968087)	(64, 5.098169811454444)	(66, 5.234211701019605)	(68, 5.37493003053857)	(70, 5.499918516576562)	(72, 5.626820091686565)	(74, 5.7711520338971045)	(76, 5.9135708870356325)	(78, 6.053580665046446)	(80, 6.193519587906443)	(82, 6.334592193179484)	(84, 6.495433385529961)	(86, 6.6594630596671225)	(88, 6.801527637051575)	(90, 6.9507485846683625)	(92, 7.0947262511248255)	(94, 7.228925906768793)	(96, 7.365038651484769)	(98, 7.488043193299937)	(100, 7.621180021681676)	(102, 7.75998526212863)	(104, 7.899357343782106)	(106, 8.03844600483232)	(108, 8.165701855696401)	(110, 8.299051249530585)	(112, 8.44224950932808)	(114, 8.604224384091602)	(116, 8.769104320038545)	(118, 8.924064534871363)	(120, 9.08816506415934)	(122, 9.240503638411994)	(124, 9.390787413291008)	(126, 9.538732968193123)	(128, 9.67116124506671)	(130, 9.796291441406332)	(132, 9.828317969574798)
SRR21015008_2 - polya	(1, 0.00042513090489113106)	(2, 0.0012753927146733931)	(3, 0.0017005236195645243)	(4, 0.0031176266358682943)	(5, 0.0055267017635847035)	(6, 0.009636300510865637)	(7, 0.015163002274450341)	(8, 0.0209731246412958)	(9, 0.02820035002444503)	(10, 0.055323701756499186)	(15, 0.11356663572658414)	(20, 0.1658010529075411)	(25, 0.22452580190316937)	(30, 0.2809548440123855)	(35, 0.3407282492400785)	(40, 0.39358619174820914)	(45, 0.44332650762047143)	(50, 0.5012293368666436)	(55, 0.5557027768133604)	(60, 0.6027789390149716)	(65, 0.6512722042328868)	(70, 0.6993686806062367)	(75, 0.7567330107062133)	(80, 0.8129353163328208)	(85, 0.8656798905996471)	(90, 0.9130961575251714)	(95, 0.9617878171653688)	(100, 1.0105361609262187)	(105, 1.0591144523251117)	(110, 1.1095349776452)	(115, 1.1506593071783353)	(120, 1.1968285234495122)	(125, 1.2447266054005799)	(130, 1.2909241637320825)	(135, 1.35015906981358)	(140, 1.3713305888771585)																																			
SRR21015008_2 - polyg	(1, 0.06702897267116834)	(2, 0.06887120659236323)	(3, 0.06901291689399361)	(4, 0.06972146840214549)	(5, 0.06986317870377587)	(6, 0.070288309608667)	(7, 0.07099686111681888)	(8, 0.07142199202171001)	(9, 0.07156370232334039)	(10, 0.07334925212388314)	(15, 0.07612677403583853)	(20, 0.07884761182714177)	(25, 0.08137005519616247)	(30, 0.08417591916844396)	(35, 0.08604649514996493)	(40, 0.08839888615702918)	(45, 0.09041117244018054)	(50, 0.09335874671409239)	(55, 0.09681647807387359)	(60, 0.10027420943365477)	(65, 0.10291002104397977)	(70, 0.10673619918799997)	(75, 0.11030729878908548)	(80, 0.11436021341571426)	(85, 0.11906499542984277)	(90, 0.1230895679961455)	(95, 0.12711414056244819)	(100, 0.13218736936081568)	(105, 0.13760070288309606)	(110, 0.14307072052602862)	(115, 0.15043965621080824)	(120, 0.1591123266705873)	(125, 0.16863525894014864)	(130, 0.1798870568896006)	(135, 0.1926693260966606)	(140, 0.20108691801350498)																																			
SRR21015019_1 - polya	(1, 0.0209212493557786)	(2, 0.04133222433702602)	(3, 0.0676964003544706)	(4, 0.11294072822956903)	(5, 0.15835514756284455)	(6, 0.21720679209210791)	(7, 0.2898358447337133)	(8, 0.4088998654576566)	(9, 0.5880061709181027)	(10, 0.9022501399002243)	(12, 1.142334233117147)	(14, 1.334877763773581)	(16, 1.5231690079755884)	(18, 1.6841605731401774)	(20, 1.834181239252346)	(22, 1.9984045421222991)	(24, 2.1640736223867574)	(26, 2.331528662962075)	(28, 2.480698871783358)	(30, 2.6230654222775587)	(32, 2.7617750064209527)	(34, 2.908223751911403)	(36, 3.061561201458024)	(38, 3.209795907259333)	(40, 3.34314761047015)	(42, 3.4789656398245334)	(44, 3.612657525951704)	(46, 3.7515372015532753)	(48, 3.884803859035003)	(50, 4.009565943607878)	(52, 4.140706457862393)	(54, 4.270996514826022)	(56, 4.402562257725979)	(58, 4.529535531255156)	(60, 4.654042478640765)	(62, 4.7699598073884335)	(64, 4.901610596017479)	(66, 5.025011948924937)	(68, 5.154111365681327)	(70, 5.274791255257952)	(72, 5.39300481869101)	(74, 5.509262330355032)	(76, 5.636830923987828)	(78, 5.757680905022631)	(80, 5.8942643459388115)	(82, 6.033314112998559)	(84, 6.169812508185652)	(86, 6.3195780371105545)	(88, 6.454205426257699)	(90, 6.589513181237551)	(92, 6.7309442287117776)	(94, 6.8642959319225945)	(96, 6.993140211491719)	(98, 7.110163134717538)	(100, 7.227356149401533)	(102, 7.359432166676022)	(104, 7.490997909575979)	(106, 7.618396411750599)	(108, 7.744774365176156)	(110, 7.8778709311997055)	(112, 8.012583366075939)	(114, 8.145509840641314)	(116, 8.284134379055619)	(118, 8.442914755263907)	(120, 8.604076411886671)	(122, 8.76166614788772)	(124, 8.888724467145984)	(126, 9.014251963280657)	(128, 9.139779459415326)	(130, 9.250679090146772)	(132, 9.276447946060596)
