Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR21014913_1	(1, 0.002664783552955911)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0007994350658867733)	(10, 0.0030378532503697385)	(15, 0.0005862523816503004)	(20, 0.0018653484870691376)	(25, 0.002504936590461521)	(30, 0.0)	(35, 0.0030381592805638824)	(40, 0.001705734198638078)	(45, 0.009488793894334284)	(50, 0.0018659760067473692)	(55, 0.0002132783928193431)	(60, 0.00026664945888825307)	(65, 0.0004800681056619232)	(70, 0.0003201210484391164)	(75, 0.0012274234141155828)	(80, 0.0006405848967163618)	(85, 0.0010146017207645183)	(90, 0.00032051470387913606)	(95, 5.3442527104713685e-05)	(100, 0.0004277567048190001)	(105, 0.00037450358212676307)	(110, 0.0003212153074084028)	(115, 0.0001607322532840278)	(120, 0.0001072457364457476)	(125, 0.0006977928811170268)	(130, 0.0008598641737054612)	(135, 0.000269058633795594)	(140, 0.0020698854663375294)		
SRR21014913_2	(1, 0.0010659134211823645)	(2, 0.00026647835529559113)	(3, 0.0018653484870691376)	(4, 0.00026647835529559113)	(5, 0.00026647835529559113)	(6, 0.00026647835529559113)	(7, 0.00026647835529559113)	(8, 0.00026647835529559113)	(9, 0.00026647835529559113)	(10, 0.00037306969741382755)	(15, 0.0029312619082515023)	(20, 0.0011192090922414828)	(25, 0.0034109229477835663)	(30, 0.004903201737438877)	(35, 0.0022385768620695537)	(40, 0.0001066057166249483)	(45, 0.00079960211798609)	(50, 0.0004265031169380915)	(55, 0.0015462897843032393)	(60, 0.0010132447081961898)	(65, 0.0004800550463119771)	(70, 0.00042684468935844176)	(75, 0.0003202261223391878)	(80, 0.00016016375141945124)	(85, 0.0002670395250541823)	(90, 0.0)	(95, 0.0005345249676612395)	(100, 0.00021391907227576737)	(105, 0.0003745893564180267)	(110, 0.00010709860247033635)	(115, 0.0016076687945056312)	(120, 0.0006972487102239723)	(125, 0.0010736894546516523)	(130, 0.003761523696524567)	(135, 0.0011298462333078668)	(140, 0.0006465182835370584)	(145, 0.002065729332921637)	(150, 0.004545104921999007)
SRR21014914_1	(1, 0.0005496740432923276)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00036644936219488506)	(7, 0.0)	(8, 0.0)	(9, 0.0005496740432923276)	(10, 0.003334689195973454)	(15, 0.00014657974487795403)	(20, 0.0005863189795118161)	(25, 0.0020154921721948563)	(30, 0.0)	(35, 0.003005206336734103)	(40, 0.0024189611368237722)	(45, 0.010299888020790378)	(50, 0.0019062967180169233)	(55, 7.332913157409414e-05)	(60, 0.0004400430362089412)	(65, 0.00036677515875862746)	(70, 0.0004035490302900234)	(75, 0.0010642170591792757)	(80, 0.0006240932292492672)	(85, 0.0008080128429968609)	(90, 0.00047769460175703425)	(95, 0.00018382305633772266)	(100, 0.0004046331228260166)	(105, 0.00036811667826234205)	(110, 0.00014735982764794558)	(115, 0.0003687360502542988)	(120, 0.00011073923236302387)	(125, 0.0008130357720957253)	(130, 0.000740099047455521)	(135, 0.00033354482545969893)	(140, 0.002059861693491524)		
SRR21014914_2	(1, 0.00036644936219488506)	(2, 0.0)	(3, 0.0016490221298769829)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 7.328987243897701e-05)	(15, 0.0029315948975590805)	(20, 0.0004397392346338621)	(25, 0.0010627031503651668)	(30, 0.0021254063007303337)	(35, 0.0019056400348585539)	(40, 0.0004031461525746929)	(45, 0.001246188587185003)	(50, 0.00040322595426171343)	(55, 0.001613165779181069)	(60, 0.0011001067836984711)	(65, 0.0006602175636944895)	(70, 0.0005869944052095753)	(75, 0.000513764673027318)	(80, 0.00014684066796351452)	(85, 0.0005141748833649367)	(90, 0.00014698398058341617)	(95, 0.0006250406736026573)	(100, 0.00025753889941119247)	(105, 0.000404952048155425)	(110, 0.0003684140915442703)	(115, 0.00162244101412888)	(120, 0.0005905652041196353)	(125, 0.0008498700807302674)	(130, 0.0030336517064475828)	(135, 0.0012595456892789693)	(140, 0.0005194516075172068)	(145, 0.001834656969693339)	(150, 0.0028835964214568408)
SRR21015008_1	(1, 0.0008502618097822622)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002380733067390334)	(15, 0.0005951832668475835)	(20, 0.0012470506543473178)	(25, 0.002182368334459001)	(30, 0.0)	(35, 0.002466063284286075)	(40, 0.0014173693511453196)	(45, 0.008816844652583719)	(50, 0.001275866057880089)	(55, 0.00011342584912717392)	(60, 0.0003119654932131907)	(65, 0.00014182683170771418)	(70, 0.00022696999314834334)	(75, 0.0011067443582287435)	(80, 0.00022709363297581224)	(85, 0.0005395202869566427)	(90, 0.00039768174268684577)	(95, 0.00014209022103838965)	(100, 0.0003127402413672321)	(105, 0.00034135352932525504)	(110, 0.000170778831166909)	(115, 0.00022787147251400054)	(120, 5.7014704377332435e-05)	(125, 0.0005706552520398785)	(130, 0.0006854538132652449)	(135, 0.00017155478673595574)	(140, 0.0016340156301765105)		
SRR21015008_2	(1, 0.0012753927146733931)	(2, 0.0004251309048911311)	(3, 0.0014171030163037703)	(4, 0.0004251309048911311)	(5, 0.0004251309048911311)	(6, 0.0005668412065215081)	(7, 0.0005668412065215081)	(8, 0.0004251309048911311)	(9, 0.0004251309048911311)	(10, 0.0005384991461954327)	(15, 0.0026924957309771634)	(20, 0.0008786038701083376)	(25, 0.002635811610325013)	(30, 0.004166282867933084)	(35, 0.0016722867784755716)	(40, 0.0002551162862552133)	(45, 0.0006236817635452339)	(50, 0.0003402300805920003)	(55, 0.0010491914845350593)	(60, 0.0007374227585113476)	(65, 0.0002836943817164645)	(70, 0.0002553839911126371)	(75, 0.00014192381132421445)	(80, 8.518158442290045e-05)	(85, 0.0002840470915992221)	(90, 5.683427948200101e-05)	(95, 0.00036959695452109474)	(100, 0.0004266893627479705)	(105, 0.00037001858916466026)	(110, 0.00014240466221471717)	(115, 0.001054559187134378)	(120, 0.0006846181143106866)	(125, 0.0006567261175122873)	(130, 0.0030870743624762677)	(135, 0.0010015105640765027)	(140, 0.0005443864020299309)	(145, 0.0011847755760537784)	(150, 0.0032298877198746064)
SRR21015019_1	(1, 0.0006803658327082472)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0001700914581770618)	(7, 0.0)	(8, 0.0)	(9, 0.0005102743745311854)	(10, 0.002755481622468401)	(15, 0.0011906402072394326)	(20, 0.0033337925802704115)	(25, 0.0034699684436987413)	(30, 0.0)	(35, 0.002449767016949326)	(40, 0.0017694176574271304)	(45, 0.01017516599302984)	(50, 0.001157195869355309)	(55, 0.00017020378499177065)	(60, 0.00027238020463243824)	(65, 0.0004086547630074811)	(70, 0.00040874524067260393)	(75, 0.0011925107598542274)	(80, 0.0005794074502254918)	(85, 0.0009546653301352045)	(90, 0.0005798956324307656)	(95, 0.00020477682909223456)	(100, 0.0005463738194056956)	(105, 0.0003075311298386179)	(110, 0.00020517197514957036)	(115, 0.00013688326389929773)	(120, 0.0001712570403769299)	(125, 0.0008228257344233945)	(130, 0.000995401587905802)	(135, 0.0004811487632930234)	(140, 0.002158712465387008)		
SRR21015019_2	(1, 0.0020410974981247415)	(2, 0.0010205487490623708)	(3, 0.002551371872655927)	(4, 0.0010205487490623708)	(5, 0.0010205487490623708)	(6, 0.0010205487490623708)	(7, 0.0010205487490623708)	(8, 0.0010205487490623708)	(9, 0.0010205487490623708)	(10, 0.0010205487490623708)	(15, 0.003571920621718298)	(20, 0.002415298706114278)	(25, 0.005851146161290927)	(30, 0.009321011908102986)	(35, 0.0035042905444714885)	(40, 0.00034025468062845037)	(45, 0.0009868520678123906)	(50, 0.00047647117281337164)	(55, 0.0013956244789810443)	(60, 0.0010895260119228192)	(65, 0.0003065150802013736)	(70, 0.00013626809384783623)	(75, 0.0003066951552388644)	(80, 0.00027271633308345697)	(85, 0.00037516298273670485)	(90, 0.00010236298117851865)	(95, 0.0005462387705257753)	(100, 0.00023913833674504026)	(105, 0.00044441314560410446)	(110, 0.00034209612559032965)	(115, 0.001506520150734189)	(120, 0.0007196325350666653)	(125, 0.000857517322707436)	(130, 0.0029188097025355185)	(135, 0.0010313410803091548)	(140, 0.0006541686033500318)	(145, 0.0014589001768395427)	(150, 0.0036766590088172964)
SRR21015062_1	(1, 0.0006044195154973163)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00020147317183243877)	(7, 0.0)	(8, 0.0)	(9, 0.00020147317183243877)	(10, 0.0022162048901568266)	(15, 0.0012491336653611205)	(20, 0.0037474009960833617)	(25, 0.004069877786808519)	(30, 0.0)	(35, 0.001974775268559361)	(40, 0.0018540305616785587)	(45, 0.008626333050626095)	(50, 0.0012497822959871507)	(55, 4.0322141654102955e-05)	(60, 0.0003629799199508283)	(65, 0.0003630837428447288)	(70, 0.00044389688194723843)	(75, 0.0008881277902855776)	(80, 0.0005249920443513279)	(85, 0.0006060459140384475)	(90, 0.00020213241613728186)	(95, 0.00016181681446609958)	(100, 0.00048583330330613614)	(105, 0.0003241417536717157)	(110, 0.00016220619895320227)	(115, 0.00012177509114865573)	(120, 4.0640461155440824e-05)	(125, 0.0006104814786024207)	(130, 0.0006930492864038407)	(135, 0.0003267410601603808)	(140, 0.0014584632581019093)		
SRR21015062_2	(1, 0.001007365859162194)	(2, 0.0008058926873297551)	(3, 0.002820624405654143)	(4, 0.0008058926873297551)	(5, 0.0008058926873297551)	(6, 0.0008058926873297551)	(7, 0.0008058926873297551)	(8, 0.0008058926873297551)	(9, 0.0008058926873297551)	(10, 0.0008864819560627307)	(15, 0.002780329771287655)	(20, 0.0013700175684605838)	(25, 0.003908579533549313)	(30, 0.0069709717454023825)	(35, 0.002901477900007012)	(40, 0.00016120757369301967)	(45, 0.0010882699812414499)	(50, 8.062363997997309e-05)	(55, 0.0017337605104190943)	(60, 0.0009276314383167442)	(65, 0.00044378817586921966)	(70, 0.00024215088098526348)	(75, 0.0003633606499795307)	(80, 0.0)	(85, 0.0003636898517600164)	(90, 8.086234842858176e-05)	(95, 0.00036410889607037494)	(100, 0.00016194292645442965)	(105, 0.00016208125295291784)	(110, 0.0003650196035805989)	(115, 0.0016643622691509235)	(120, 0.0007720878067017222)	(125, 0.0007730050367380814)	(130, 0.0026890865865509)	(135, 0.0011019288243766245)	(140, 0.000449809628297769)	(145, 0.0013209761518396038)	(150, 0.0018533816271631611)
