Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR21014913_1	(1, 35.336706061050194)	(2, 35.908200871384224)	(3, 35.97461260709099)	(4, 36.11798329180712)	(5, 36.28628036187761)	(6, 36.318300401049925)	(7, 36.3767870704702)	(8, 36.41975937004517)	(9, 36.44617003983851)	(10, 36.440083674203564)	(15, 36.34997348540365)	(20, 36.26971660026914)	(25, 36.1854416896502)	(30, 36.11370259652376)	(35, 36.048796327962904)	(40, 35.97373832968982)	(45, 35.88963137307436)	(50, 35.81087495991052)	(55, 35.71530061519998)	(60, 35.61295237011944)	(65, 35.527442553350994)	(70, 35.415702039407265)	(75, 35.2987360279292)	(80, 35.204817142019635)	(85, 35.072453134710074)	(90, 34.963434897581365)	(95, 34.825601439024254)	(100, 34.69899905614558)	(105, 34.56223174857029)	(110, 34.40488751763523)	(115, 34.23251365857142)	(120, 34.06954836745066)	(125, 33.83587414876883)	(130, 33.56953702837916)	(135, 33.38504172269057)	(140, 33.12998750573918)		
SRR21014913_2	(1, 36.26401876007621)	(2, 36.45326369365648)	(3, 36.50487522151013)	(4, 36.451957949715535)	(5, 36.26629715001399)	(6, 36.106212942853716)	(7, 36.05204322278923)	(8, 36.028790321506136)	(9, 36.004018493597854)	(10, 36.015613499793474)	(15, 35.97007554661373)	(20, 35.90309034948636)	(25, 35.80901656162978)	(30, 35.71259936311672)	(35, 35.62747643960452)	(40, 35.5674768181207)	(45, 35.46450763509052)	(50, 35.348229174965894)	(55, 35.2578234964306)	(60, 35.16286343960218)	(65, 35.04954129817328)	(70, 34.952596094824436)	(75, 34.84056510092319)	(80, 34.75368860319192)	(85, 34.62134285448862)	(90, 34.49661824983579)	(95, 34.40967264084865)	(100, 34.27480972895306)	(105, 34.136469848854844)	(110, 34.01715382483544)	(115, 33.90333217623229)	(120, 33.76448419238524)	(125, 33.616443631756184)	(130, 33.47269809732306)	(135, 33.3049161931706)	(140, 33.113215664676716)	(145, 32.892164896505555)	(150, 32.499463315114234)
SRR21014914_1	(1, 36.3056792322153)	(2, 36.36969610354393)	(3, 36.098824063996716)	(4, 36.30194328096772)	(5, 36.341424535250596)	(6, 36.36979504487172)	(7, 36.401016530530725)	(8, 36.42401489250208)	(9, 36.45176427045429)	(10, 36.43478007541528)	(15, 36.34196175001558)	(20, 36.25418833298521)	(25, 36.1757473780054)	(30, 36.104186874343256)	(35, 36.0391985501631)	(40, 35.96222782822684)	(45, 35.88431008711283)	(50, 35.80225006054519)	(55, 35.72258115913521)	(60, 35.614648994971375)	(65, 35.52725173441499)	(70, 35.424644627380836)	(75, 35.312725497939866)	(80, 35.22206888800074)	(85, 35.087395265931505)	(90, 34.9775602109695)	(95, 34.844876593033405)	(100, 34.71375673532238)	(105, 34.57193933220499)	(110, 34.40525112634007)	(115, 34.24067206007109)	(120, 34.07213024636427)	(125, 33.848941225252716)	(130, 33.57963170248589)	(135, 33.38381504640054)	(140, 33.11508908670895)		
SRR21014914_2	(1, 36.28721934559473)	(2, 36.482595487542554)	(3, 36.51993118080978)	(4, 36.46635078731646)	(5, 36.303269827658866)	(6, 36.14264407872798)	(7, 36.08351380964422)	(8, 36.063300462825545)	(9, 36.04244949411665)	(10, 36.04555991630296)	(15, 36.00308037333862)	(20, 35.942692450043786)	(25, 35.854147657106)	(30, 35.76283250699002)	(35, 35.68269920868111)	(40, 35.617198351158585)	(45, 35.50908130256465)	(50, 35.40525211049529)	(55, 35.315595344092905)	(60, 35.21850896414751)	(65, 35.12089794210442)	(70, 35.02133060759767)	(75, 34.904555134475025)	(80, 34.83236997576987)	(85, 34.69892816983081)	(90, 34.57447488339329)	(95, 34.496571965148135)	(100, 34.36466781332849)	(105, 34.21077287589485)	(110, 34.10679817678664)	(115, 33.99268906098513)	(120, 33.850003505271154)	(125, 33.6923415145566)	(130, 33.540556897277824)	(135, 33.38112216799422)	(140, 33.20036467130601)	(145, 32.97558001586851)	(150, 32.55273504578088)
SRR21015008_1	(1, 36.599645724245924)	(2, 36.60386018861641)	(3, 36.505238321299764)	(4, 36.51285950132145)	(5, 36.50853450291569)	(6, 36.5195567301765)	(7, 36.546578050491384)	(8, 36.535638015205514)	(9, 36.543256361021164)	(10, 36.54646978382093)	(15, 36.44791338666364)	(20, 36.37273295402209)	(25, 36.29062649640556)	(30, 36.22999761154776)	(35, 36.15006351557105)	(40, 36.077388560009474)	(45, 36.003654993228636)	(50, 35.929864229194315)	(55, 35.835638374096064)	(60, 35.743127566956424)	(65, 35.636667922376205)	(70, 35.53998099010532)	(75, 35.41872755543523)	(80, 35.331848130545)	(85, 35.18855305656486)	(90, 35.075936965979615)	(95, 34.939902960117465)	(100, 34.80021507758982)	(105, 34.64684819782907)	(110, 34.4729979049085)	(115, 34.290910340529734)	(120, 34.12356082493942)	(125, 33.883234523456814)	(130, 33.59875020056957)	(135, 33.38950428350127)	(140, 33.119595955052475)		
SRR21015008_2	(1, 36.297430083679934)	(2, 36.47867755946518)	(3, 36.50424351498232)	(4, 36.43936995599895)	(5, 36.25168599831365)	(6, 36.099680443269826)	(7, 36.024423770485996)	(8, 36.00032026528169)	(9, 35.972451517363055)	(10, 35.965655658138076)	(15, 35.917332445282106)	(20, 35.84659349691426)	(25, 35.75108245413901)	(30, 35.64648381314079)	(35, 35.55575003983725)	(40, 35.47722021582412)	(45, 35.367838698711864)	(50, 35.24741178583739)	(55, 35.147696727154695)	(60, 35.04006033618943)	(65, 34.92767885540981)	(70, 34.8264724220429)	(75, 34.70702420040545)	(80, 34.61813022256209)	(85, 34.475192523718306)	(90, 34.3425053040922)	(95, 34.24962692151941)	(100, 34.11359804909877)	(105, 33.951053776713806)	(110, 33.83738178914082)	(115, 33.71520123936803)	(120, 33.56608755778656)	(125, 33.418181062093474)	(130, 33.26420681564338)	(135, 33.100366605941616)	(140, 32.91221093160292)	(145, 32.68241314505926)	(150, 32.2944465244648)
SRR21015019_1	(1, 36.119212000292556)	(2, 36.37439000950811)	(3, 36.336007171055876)	(4, 36.35524791680486)	(5, 36.39552557410119)	(6, 36.40752552647559)	(7, 36.431370647997426)	(8, 36.42639717376033)	(9, 36.46159079737175)	(10, 36.460811778493294)	(15, 36.35405421495138)	(20, 36.280979182506435)	(25, 36.19549305062975)	(30, 36.13799729958755)	(35, 36.0566968459997)	(40, 35.98480502233873)	(45, 35.90819295391269)	(50, 35.83162389559273)	(55, 35.741278439334444)	(60, 35.641556908448436)	(65, 35.551324569676865)	(70, 35.450906821288385)	(75, 35.33195300301337)	(80, 35.23680778562299)	(85, 35.09119072199994)	(90, 34.98148068841651)	(95, 34.836391534473705)	(100, 34.70480237251477)	(105, 34.55447578449073)	(110, 34.38109976220916)	(115, 34.207300773649095)	(120, 34.03989100972691)	(125, 33.80264532667551)	(130, 33.522589840629216)	(135, 33.334709870490954)	(140, 33.06495928186875)		
SRR21015019_2	(1, 36.316688183236124)	(2, 36.472876365621794)	(3, 36.48444088386325)	(4, 36.42758441213841)	(5, 36.24492319520206)	(6, 36.08791857381714)	(7, 36.01715372355716)	(8, 35.986574681206086)	(9, 35.978624606450886)	(10, 35.9714671578908)	(15, 35.924513410861024)	(20, 35.86241642130973)	(25, 35.759467885882245)	(30, 35.66301446287669)	(35, 35.57616014084637)	(40, 35.499707048665925)	(45, 35.395181757312244)	(50, 35.282856459929064)	(55, 35.18385574011972)	(60, 35.081435903909245)	(65, 34.9742774948996)	(70, 34.884631983965065)	(75, 34.766216935900594)	(80, 34.68485776621094)	(85, 34.5515481205381)	(90, 34.41073320039547)	(95, 34.3328057919048)	(100, 34.19458921384998)	(105, 34.02968016229793)	(110, 33.93384304582305)	(115, 33.81068635794842)	(120, 33.66711219356861)	(125, 33.52085332519387)	(130, 33.3699913937656)	(135, 33.20681055397715)	(140, 33.02498437517035)	(145, 32.80687252052581)	(150, 32.398651925104545)
SRR21015062_1	(1, 36.52599608336154)	(2, 36.62527601824541)	(3, 36.504698354367136)	(4, 36.46450042712313)	(5, 36.48659397514627)	(6, 36.507553229212)	(7, 36.518616121077315)	(8, 36.50588301661751)	(9, 36.52605652531309)	(10, 36.51591678352111)	(15, 36.42179738246055)	(20, 36.34392961333269)	(25, 36.26370456310951)	(30, 36.19648180271774)	(35, 36.12921507630996)	(40, 36.05985938183407)	(45, 35.98096432062875)	(50, 35.920463752375)	(55, 35.831625279288914)	(60, 35.73973470747726)	(65, 35.64141753827222)	(70, 35.548003248219516)	(75, 35.44175060621348)	(80, 35.35751332832983)	(85, 35.22968370306774)	(90, 35.10981161400447)	(95, 34.981923596159504)	(100, 34.85643508377279)	(105, 34.71787398917869)	(110, 34.53951177234133)	(115, 34.38683937475812)	(120, 34.19914182165475)	(125, 33.986980950538005)	(130, 33.714951643871004)	(135, 33.51931673229158)	(140, 33.246111190373846)		
SRR21015062_2	(1, 36.3799804168077)	(2, 36.517439517753814)	(3, 36.52940702416066)	(4, 36.47295021194978)	(5, 36.299505987782666)	(6, 36.15718533920023)	(7, 36.08184646132521)	(8, 36.07141820995116)	(9, 36.04865980046097)	(10, 36.045976177812165)	(15, 35.999469319665394)	(20, 35.93708556968554)	(25, 35.849797317989136)	(30, 35.75749198136776)	(35, 35.676758829189275)	(40, 35.60499277732716)	(45, 35.50283592139807)	(50, 35.400661649022496)	(55, 35.30850355642546)	(60, 35.21239535701743)	(65, 35.10681440077296)	(70, 35.01516982797214)	(75, 34.9020179455154)	(80, 34.81733667524625)	(85, 34.7021501444596)	(90, 34.57283930935211)	(95, 34.49463489530008)	(100, 34.368440415628434)	(105, 34.22039629723397)	(110, 34.11767004273072)	(115, 33.99701476253931)	(120, 33.84951892900124)	(125, 33.71780274855414)	(130, 33.56357072396271)	(135, 33.408329012613265)	(140, 33.22776676480025)	(145, 33.02261971754522)	(150, 32.6246394189672)
