Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR21014913_1	(0.0, 11.0)	(1.0, 10.5)	(2.0, 18.0)	(3.0, 36.5)	(4.0, 66.0)	(5.0, 112.5)	(6.0, 177.0)	(7.0, 248.5)	(8.0, 397.0)	(9.0, 704.0)	(10.0, 1129.0)	(11.0, 1761.5)	(12.0, 2783.0)	(13.0, 4111.0)	(14.0, 5661.0)	(15.0, 7447.5)	(16.0, 9372.0)	(17.0, 11543.0)	(18.0, 13786.5)	(19.0, 15783.5)	(20.0, 17350.0)	(21.0, 18889.5)	(22.0, 20040.0)	(23.0, 20374.0)	(24.0, 20711.5)	(25.0, 20658.5)	(26.0, 19943.0)	(27.0, 18900.0)	(28.0, 18015.5)	(29.0, 16944.5)	(30.0, 15329.0)	(31.0, 13598.0)	(32.0, 11928.5)	(33.0, 10696.0)	(34.0, 9357.5)	(35.0, 7904.0)	(36.0, 6857.0)	(37.0, 5889.5)	(38.0, 4960.5)	(39.0, 4214.0)	(40.0, 3536.0)	(41.0, 2947.5)	(42.0, 2339.5)	(43.0, 1837.5)	(44.0, 1540.5)	(45.0, 1249.5)	(46.0, 997.5)	(47.0, 777.0)	(48.0, 614.0)	(49.0, 476.5)	(50.0, 367.0)	(51.0, 279.0)	(52.0, 200.5)	(53.0, 172.5)	(54.0, 139.0)	(55.0, 101.5)	(56.0, 78.0)	(57.0, 59.5)	(58.0, 47.5)	(59.0, 35.0)	(60.0, 31.0)	(61.0, 29.0)	(62.0, 23.0)	(63.0, 21.5)	(64.0, 23.5)	(65.0, 20.0)	(66.0, 13.5)	(67.0, 9.0)	(68.0, 9.0)	(69.0, 10.5)	(70.0, 8.5)	(71.0, 5.5)	(72.0, 4.5)	(73.0, 4.0)	(74.0, 5.0)	(75.0, 4.5)	(76.0, 3.5)	(77.0, 5.0)	(78.0, 5.0)	(79.0, 3.0)	(80.0, 2.0)	(81.0, 1.5)	(82.0, 0.5)	(83.0, 1.5)	(84.0, 1.0)	(85.0, 0.0)	(86.0, 1.5)	(87.0, 2.0)	(88.0, 1.0)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR21014913_2	(0.0, 1.0)	(1.0, 1.5)	(2.0, 1.0)	(3.0, 4.0)	(4.0, 14.0)	(5.0, 27.5)	(6.0, 47.0)	(7.0, 67.0)	(8.0, 126.5)	(9.0, 228.5)	(10.0, 418.5)	(11.0, 728.5)	(12.0, 1217.5)	(13.0, 2040.0)	(14.0, 3181.5)	(15.0, 4748.0)	(16.0, 6553.5)	(17.0, 8689.0)	(18.0, 11171.5)	(19.0, 13403.0)	(20.0, 15428.0)	(21.0, 17447.5)	(22.0, 18877.5)	(23.0, 19774.5)	(24.0, 20383.5)	(25.0, 20476.0)	(26.0, 20227.0)	(27.0, 19621.5)	(28.0, 18843.5)	(29.0, 17791.0)	(30.0, 16404.0)	(31.0, 15074.5)	(32.0, 13926.5)	(33.0, 12655.5)	(34.0, 11123.0)	(35.0, 9881.0)	(36.0, 8838.0)	(37.0, 7672.0)	(38.0, 6535.0)	(39.0, 5570.5)	(40.0, 4770.0)	(41.0, 4066.0)	(42.0, 3344.0)	(43.0, 2665.5)	(44.0, 2242.5)	(45.0, 1905.0)	(46.0, 1565.5)	(47.0, 1248.0)	(48.0, 970.0)	(49.0, 769.5)	(50.0, 636.5)	(51.0, 488.0)	(52.0, 353.0)	(53.0, 271.0)	(54.0, 207.5)	(55.0, 175.0)	(56.0, 146.5)	(57.0, 106.5)	(58.0, 81.5)	(59.0, 68.5)	(60.0, 51.0)	(61.0, 43.0)	(62.0, 36.5)	(63.0, 31.5)	(64.0, 27.0)	(65.0, 21.5)	(66.0, 19.0)	(67.0, 15.5)	(68.0, 14.0)	(69.0, 12.0)	(70.0, 8.0)	(71.0, 7.5)	(72.0, 9.0)	(73.0, 8.5)	(74.0, 8.0)	(75.0, 8.5)	(76.0, 13.5)	(77.0, 12.0)	(78.0, 7.0)	(79.0, 5.5)	(80.0, 6.0)	(81.0, 5.0)	(82.0, 3.0)	(83.0, 3.5)	(84.0, 2.5)	(85.0, 3.0)	(86.0, 4.5)	(87.0, 4.0)	(88.0, 3.5)	(89.0, 5.5)	(90.0, 5.0)	(91.0, 3.5)	(92.0, 2.5)	(93.0, 2.0)	(94.0, 2.0)	(95.0, 3.5)	(96.0, 5.5)	(97.0, 4.0)	(98.0, 2.0)	(99.0, 1.5)	(100.0, 7.0)
SRR21014914_1	(0.0, 16.0)	(1.0, 28.5)	(2.0, 53.5)	(3.0, 70.0)	(4.0, 116.5)	(5.0, 220.5)	(6.0, 391.5)	(7.0, 626.0)	(8.0, 997.0)	(9.0, 1621.0)	(10.0, 2601.5)	(11.0, 3964.5)	(12.0, 5949.5)	(13.0, 8303.0)	(14.0, 10862.0)	(15.0, 13880.5)	(16.0, 16830.0)	(17.0, 19912.5)	(18.0, 23074.5)	(19.0, 25427.5)	(20.0, 27193.0)	(21.0, 28233.0)	(22.0, 28599.5)	(23.0, 28649.5)	(24.0, 28152.0)	(25.0, 27144.0)	(26.0, 25917.5)	(27.0, 24535.5)	(28.0, 22671.0)	(29.0, 20757.5)	(30.0, 18818.0)	(31.0, 16881.5)	(32.0, 14945.5)	(33.0, 13221.5)	(34.0, 11724.0)	(35.0, 10003.5)	(36.0, 8709.5)	(37.0, 7506.5)	(38.0, 6363.0)	(39.0, 5494.0)	(40.0, 4567.0)	(41.0, 3767.5)	(42.0, 3078.5)	(43.0, 2503.5)	(44.0, 2096.0)	(45.0, 1750.5)	(46.0, 1457.0)	(47.0, 1245.5)	(48.0, 1061.5)	(49.0, 944.5)	(50.0, 872.0)	(51.0, 813.5)	(52.0, 778.5)	(53.0, 801.0)	(54.0, 806.5)	(55.0, 753.0)	(56.0, 747.5)	(57.0, 780.5)	(58.0, 791.0)	(59.0, 743.5)	(60.0, 700.5)	(61.0, 675.0)	(62.0, 609.5)	(63.0, 579.0)	(64.0, 525.5)	(65.0, 465.0)	(66.0, 432.0)	(67.0, 401.5)	(68.0, 356.0)	(69.0, 267.5)	(70.0, 189.5)	(71.0, 126.0)	(72.0, 105.5)	(73.0, 86.5)	(74.0, 63.0)	(75.0, 41.5)	(76.0, 24.0)	(77.0, 24.0)	(78.0, 18.0)	(79.0, 10.0)	(80.0, 7.5)	(81.0, 6.5)	(82.0, 4.0)	(83.0, 3.0)	(84.0, 3.5)	(85.0, 3.0)	(86.0, 1.5)	(87.0, 1.5)	(88.0, 1.5)	(89.0, 1.5)	(90.0, 2.5)	(91.0, 2.0)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR21014914_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 2.5)	(4.0, 14.5)	(5.0, 32.5)	(6.0, 55.0)	(7.0, 90.0)	(8.0, 164.0)	(9.0, 300.0)	(10.0, 549.0)	(11.0, 942.0)	(12.0, 1620.0)	(13.0, 2841.0)	(14.0, 4414.5)	(15.0, 6454.5)	(16.0, 9037.0)	(17.0, 12122.5)	(18.0, 15675.0)	(19.0, 18897.5)	(20.0, 21729.0)	(21.0, 24357.0)	(22.0, 26496.0)	(23.0, 27957.5)	(24.0, 29165.0)	(25.0, 29464.0)	(26.0, 28631.0)	(27.0, 27790.0)	(28.0, 26715.0)	(29.0, 25149.0)	(30.0, 23584.5)	(31.0, 21799.0)	(32.0, 19827.5)	(33.0, 17916.5)	(34.0, 15853.5)	(35.0, 14050.0)	(36.0, 12353.5)	(37.0, 10778.0)	(38.0, 9543.5)	(39.0, 8257.0)	(40.0, 7038.0)	(41.0, 5931.5)	(42.0, 4873.0)	(43.0, 4059.0)	(44.0, 3380.0)	(45.0, 2791.0)	(46.0, 2292.0)	(47.0, 1892.5)	(48.0, 1558.5)	(49.0, 1309.5)	(50.0, 1129.0)	(51.0, 1013.0)	(52.0, 960.0)	(53.0, 864.5)	(54.0, 828.5)	(55.0, 840.0)	(56.0, 817.0)	(57.0, 838.0)	(58.0, 850.0)	(59.0, 840.5)	(60.0, 851.0)	(61.0, 814.5)	(62.0, 781.0)	(63.0, 757.5)	(64.0, 691.0)	(65.0, 637.5)	(66.0, 563.0)	(67.0, 463.5)	(68.0, 424.0)	(69.0, 390.5)	(70.0, 321.0)	(71.0, 231.5)	(72.0, 164.5)	(73.0, 133.0)	(74.0, 107.5)	(75.0, 92.0)	(76.0, 58.5)	(77.0, 36.5)	(78.0, 34.0)	(79.0, 20.0)	(80.0, 14.0)	(81.0, 14.0)	(82.0, 14.0)	(83.0, 11.5)	(84.0, 7.0)	(85.0, 6.0)	(86.0, 6.5)	(87.0, 4.0)	(88.0, 5.5)	(89.0, 8.0)	(90.0, 8.0)	(91.0, 5.0)	(92.0, 6.0)	(93.0, 6.5)	(94.0, 2.5)	(95.0, 2.0)	(96.0, 4.0)	(97.0, 5.5)	(98.0, 5.0)	(99.0, 6.0)	(100.0, 26.5)
SRR21015008_1	(0.0, 21.0)	(1.0, 39.0)	(2.0, 85.0)	(3.0, 135.0)	(4.0, 207.5)	(5.0, 343.5)	(6.0, 576.5)	(7.0, 956.5)	(8.0, 1587.0)	(9.0, 2605.0)	(10.0, 4171.0)	(11.0, 6328.5)	(12.0, 8980.0)	(13.0, 12322.5)	(14.0, 16214.0)	(15.0, 20213.0)	(16.0, 24470.0)	(17.0, 28679.5)	(18.0, 32152.0)	(19.0, 34632.0)	(20.0, 36381.5)	(21.0, 37505.0)	(22.0, 37568.5)	(23.0, 37221.0)	(24.0, 36137.5)	(25.0, 34628.0)	(26.0, 32873.0)	(27.0, 30461.0)	(28.0, 28340.0)	(29.0, 26074.0)	(30.0, 23790.5)	(31.0, 21584.0)	(32.0, 19137.5)	(33.0, 16908.0)	(34.0, 15029.0)	(35.0, 13343.0)	(36.0, 11600.0)	(37.0, 9929.5)	(38.0, 8283.5)	(39.0, 6772.0)	(40.0, 5628.0)	(41.0, 4666.0)	(42.0, 3809.0)	(43.0, 3060.0)	(44.0, 2458.0)	(45.0, 1880.5)	(46.0, 1446.5)	(47.0, 1151.5)	(48.0, 872.5)	(49.0, 693.0)	(50.0, 548.5)	(51.0, 385.0)	(52.0, 307.5)	(53.0, 242.0)	(54.0, 169.0)	(55.0, 143.0)	(56.0, 137.0)	(57.0, 111.5)	(58.0, 81.5)	(59.0, 72.5)	(60.0, 63.5)	(61.0, 57.0)	(62.0, 49.0)	(63.0, 40.0)	(64.0, 33.0)	(65.0, 26.5)	(66.0, 23.0)	(67.0, 23.5)	(68.0, 24.0)	(69.0, 20.0)	(70.0, 13.0)	(71.0, 11.5)	(72.0, 12.0)	(73.0, 9.5)	(74.0, 7.5)	(75.0, 9.0)	(76.0, 8.5)	(77.0, 7.0)	(78.0, 6.5)	(79.0, 5.5)	(80.0, 4.5)	(81.0, 3.0)	(82.0, 2.5)	(83.0, 2.0)	(84.0, 1.0)	(85.0, 1.5)	(86.0, 2.0)	(87.0, 1.5)	(88.0, 1.0)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR21015008_2	(0.0, 3.0)	(1.0, 3.0)	(2.0, 4.5)	(3.0, 10.5)	(4.0, 24.0)	(5.0, 53.5)	(6.0, 94.0)	(7.0, 173.0)	(8.0, 310.0)	(9.0, 464.0)	(10.0, 808.5)	(11.0, 1472.5)	(12.0, 2396.5)	(13.0, 3892.0)	(14.0, 6004.5)	(15.0, 8703.0)	(16.0, 12050.0)	(17.0, 16052.5)	(18.0, 20469.5)	(19.0, 24827.0)	(20.0, 29006.0)	(21.0, 32539.0)	(22.0, 35284.5)	(23.0, 37250.0)	(24.0, 38579.0)	(25.0, 38748.5)	(26.0, 37971.0)	(27.0, 36818.0)	(28.0, 35005.5)	(29.0, 33156.5)	(30.0, 31181.0)	(31.0, 28923.0)	(32.0, 26236.0)	(33.0, 23622.5)	(34.0, 20991.5)	(35.0, 18459.0)	(36.0, 16459.5)	(37.0, 14538.0)	(38.0, 12626.5)	(39.0, 10894.5)	(40.0, 9390.0)	(41.0, 7810.5)	(42.0, 6397.5)	(43.0, 5268.5)	(44.0, 4231.0)	(45.0, 3374.5)	(46.0, 2699.5)	(47.0, 2168.5)	(48.0, 1779.0)	(49.0, 1397.5)	(50.0, 1118.5)	(51.0, 886.0)	(52.0, 657.0)	(53.0, 500.0)	(54.0, 413.5)	(55.0, 327.0)	(56.0, 278.0)	(57.0, 240.0)	(58.0, 196.0)	(59.0, 161.0)	(60.0, 139.5)	(61.0, 125.0)	(62.0, 103.0)	(63.0, 90.0)	(64.0, 79.0)	(65.0, 65.5)	(66.0, 53.0)	(67.0, 47.0)	(68.0, 41.5)	(69.0, 41.0)	(70.0, 33.0)	(71.0, 21.0)	(72.0, 18.5)	(73.0, 18.0)	(74.0, 24.5)	(75.0, 26.5)	(76.0, 19.0)	(77.0, 14.5)	(78.0, 19.0)	(79.0, 15.5)	(80.0, 8.5)	(81.0, 9.5)	(82.0, 13.0)	(83.0, 14.0)	(84.0, 11.0)	(85.0, 9.0)	(86.0, 7.5)	(87.0, 9.5)	(88.0, 9.0)	(89.0, 6.5)	(90.0, 8.0)	(91.0, 9.5)	(92.0, 10.5)	(93.0, 10.0)	(94.0, 9.0)	(95.0, 8.5)	(96.0, 8.0)	(97.0, 8.0)	(98.0, 8.5)	(99.0, 10.5)	(100.0, 34.5)
SRR21015019_1	(0.0, 31.0)	(1.0, 39.5)	(2.0, 60.0)	(3.0, 92.5)	(4.0, 165.0)	(5.0, 286.5)	(6.0, 468.0)	(7.0, 725.0)	(8.0, 1198.0)	(9.0, 1976.5)	(10.0, 3135.5)	(11.0, 4744.0)	(12.0, 6878.0)	(13.0, 9438.5)	(14.0, 12284.0)	(15.0, 15629.5)	(16.0, 19170.0)	(17.0, 22461.0)	(18.0, 25446.0)	(19.0, 27812.5)	(20.0, 29673.5)	(21.0, 31083.5)	(22.0, 31208.5)	(23.0, 30826.0)	(24.0, 30449.0)	(25.0, 29506.5)	(26.0, 28301.5)	(27.0, 26535.0)	(28.0, 24851.0)	(29.0, 22983.5)	(30.0, 20602.0)	(31.0, 18588.0)	(32.0, 16667.0)	(33.0, 14806.5)	(34.0, 13203.5)	(35.0, 11516.0)	(36.0, 9920.0)	(37.0, 8551.5)	(38.0, 7104.5)	(39.0, 5893.0)	(40.0, 4901.0)	(41.0, 4024.0)	(42.0, 3312.0)	(43.0, 2633.5)	(44.0, 2079.0)	(45.0, 1684.5)	(46.0, 1317.0)	(47.0, 1013.0)	(48.0, 788.0)	(49.0, 598.0)	(50.0, 456.0)	(51.0, 366.0)	(52.0, 261.5)	(53.0, 196.0)	(54.0, 163.0)	(55.0, 135.0)	(56.0, 121.0)	(57.0, 88.5)	(58.0, 69.0)	(59.0, 59.0)	(60.0, 44.5)	(61.0, 38.5)	(62.0, 30.5)	(63.0, 26.0)	(64.0, 25.5)	(65.0, 21.0)	(66.0, 17.0)	(67.0, 16.0)	(68.0, 18.5)	(69.0, 15.5)	(70.0, 10.0)	(71.0, 11.0)	(72.0, 11.5)	(73.0, 10.5)	(74.0, 9.5)	(75.0, 6.0)	(76.0, 5.0)	(77.0, 5.5)	(78.0, 5.0)	(79.0, 5.0)	(80.0, 3.5)	(81.0, 2.0)	(82.0, 2.0)	(83.0, 1.0)	(84.0, 0.5)	(85.0, 0.5)	(86.0, 1.0)	(87.0, 1.5)	(88.0, 0.5)	(89.0, 0.5)	(90.0, 0.5)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.5)	(94.0, 1.0)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR21015019_2	(0.0, 6.0)	(1.0, 3.0)	(2.0, 0.0)	(3.0, 3.5)	(4.0, 15.0)	(5.0, 36.0)	(6.0, 76.5)	(7.0, 134.0)	(8.0, 208.0)	(9.0, 363.5)	(10.0, 674.0)	(11.0, 1111.5)	(12.0, 1824.0)	(13.0, 3003.5)	(14.0, 4630.5)	(15.0, 6727.0)	(16.0, 9489.5)	(17.0, 12839.0)	(18.0, 16314.0)	(19.0, 19942.0)	(20.0, 23542.5)	(21.0, 26355.0)	(22.0, 28857.5)	(23.0, 30806.5)	(24.0, 31729.5)	(25.0, 32010.0)	(26.0, 31977.0)	(27.0, 31333.5)	(28.0, 30043.5)	(29.0, 28586.5)	(30.0, 26573.0)	(31.0, 24272.0)	(32.0, 22096.0)	(33.0, 20004.0)	(34.0, 17870.5)	(35.0, 15750.0)	(36.0, 13981.5)	(37.0, 12433.5)	(38.0, 10881.0)	(39.0, 9374.0)	(40.0, 7933.0)	(41.0, 6614.5)	(42.0, 5466.0)	(43.0, 4473.5)	(44.0, 3637.5)	(45.0, 2947.0)	(46.0, 2308.0)	(47.0, 1827.5)	(48.0, 1500.5)	(49.0, 1189.5)	(50.0, 955.0)	(51.0, 763.0)	(52.0, 564.0)	(53.0, 449.0)	(54.0, 363.0)	(55.0, 297.0)	(56.0, 240.0)	(57.0, 194.0)	(58.0, 161.0)	(59.0, 129.0)	(60.0, 99.0)	(61.0, 82.0)	(62.0, 81.0)	(63.0, 66.0)	(64.0, 51.5)	(65.0, 46.0)	(66.0, 38.0)	(67.0, 33.0)	(68.0, 30.5)	(69.0, 31.5)	(70.0, 26.0)	(71.0, 23.5)	(72.0, 28.5)	(73.0, 26.5)	(74.0, 20.5)	(75.0, 15.5)	(76.0, 14.0)	(77.0, 15.0)	(78.0, 15.5)	(79.0, 12.0)	(80.0, 11.5)	(81.0, 14.5)	(82.0, 13.0)	(83.0, 9.5)	(84.0, 8.0)	(85.0, 7.5)	(86.0, 6.0)	(87.0, 4.5)	(88.0, 5.5)	(89.0, 9.5)	(90.0, 10.5)	(91.0, 9.0)	(92.0, 7.5)	(93.0, 5.5)	(94.0, 3.0)	(95.0, 3.5)	(96.0, 5.0)	(97.0, 7.0)	(98.0, 6.5)	(99.0, 11.0)	(100.0, 47.0)
SRR21015062_1	(0.0, 20.0)	(1.0, 29.5)	(2.0, 38.5)	(3.0, 71.0)	(4.0, 144.5)	(5.0, 228.5)	(6.0, 349.0)	(7.0, 591.0)	(8.0, 1016.5)	(9.0, 1722.5)	(10.0, 2759.5)	(11.0, 4242.5)	(12.0, 6180.5)	(13.0, 8362.5)	(14.0, 10870.0)	(15.0, 13563.0)	(16.0, 16678.0)	(17.0, 19519.5)	(18.0, 21686.0)	(19.0, 23539.0)	(20.0, 24784.5)	(21.0, 25430.0)	(22.0, 25812.0)	(23.0, 25597.5)	(24.0, 24809.0)	(25.0, 24000.5)	(26.0, 23025.0)	(27.0, 21830.0)	(28.0, 20436.0)	(29.0, 18918.0)	(30.0, 17193.0)	(31.0, 15789.0)	(32.0, 14176.5)	(33.0, 12562.5)	(34.0, 11226.0)	(35.0, 9818.0)	(36.0, 8772.0)	(37.0, 7547.5)	(38.0, 6192.0)	(39.0, 5215.0)	(40.0, 4391.5)	(41.0, 3581.0)	(42.0, 2866.5)	(43.0, 2295.5)	(44.0, 1872.0)	(45.0, 1538.5)	(46.0, 1235.5)	(47.0, 954.5)	(48.0, 759.5)	(49.0, 588.5)	(50.0, 471.0)	(51.0, 399.0)	(52.0, 300.5)	(53.0, 221.0)	(54.0, 183.0)	(55.0, 152.0)	(56.0, 118.5)	(57.0, 90.5)	(58.0, 76.0)	(59.0, 62.5)	(60.0, 51.5)	(61.0, 49.0)	(62.0, 41.0)	(63.0, 25.5)	(64.0, 18.5)	(65.0, 20.5)	(66.0, 18.0)	(67.0, 12.5)	(68.0, 10.0)	(69.0, 11.5)	(70.0, 13.0)	(71.0, 11.5)	(72.0, 13.0)	(73.0, 9.0)	(74.0, 4.0)	(75.0, 6.5)	(76.0, 6.0)	(77.0, 6.5)	(78.0, 7.5)	(79.0, 4.5)	(80.0, 2.5)	(81.0, 1.5)	(82.0, 2.0)	(83.0, 2.0)	(84.0, 2.0)	(85.0, 1.0)	(86.0, 0.5)	(87.0, 1.5)	(88.0, 1.0)	(89.0, 0.5)	(90.0, 0.5)	(91.0, 0.0)	(92.0, 0.5)	(93.0, 1.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 0.5)
SRR21015062_2	(0.0, 4.0)	(1.0, 3.0)	(2.0, 2.0)	(3.0, 6.5)	(4.0, 16.0)	(5.0, 35.5)	(6.0, 61.5)	(7.0, 98.5)	(8.0, 165.0)	(9.0, 321.0)	(10.0, 569.0)	(11.0, 950.0)	(12.0, 1597.0)	(13.0, 2515.0)	(14.0, 3902.0)	(15.0, 5842.0)	(16.0, 8040.5)	(17.0, 10735.5)	(18.0, 13891.0)	(19.0, 16820.5)	(20.0, 19576.5)	(21.0, 22047.5)	(22.0, 23961.5)	(23.0, 25663.5)	(24.0, 26796.5)	(25.0, 26959.0)	(26.0, 26499.5)	(27.0, 25798.0)	(28.0, 25018.5)	(29.0, 23940.0)	(30.0, 22157.5)	(31.0, 20344.5)	(32.0, 18850.5)	(33.0, 17031.0)	(34.0, 15083.0)	(35.0, 13430.5)	(36.0, 12109.0)	(37.0, 10659.0)	(38.0, 9242.0)	(39.0, 7990.0)	(40.0, 6691.5)	(41.0, 5724.5)	(42.0, 4889.0)	(43.0, 3964.5)	(44.0, 3204.5)	(45.0, 2641.0)	(46.0, 2148.0)	(47.0, 1718.5)	(48.0, 1420.0)	(49.0, 1154.5)	(50.0, 919.0)	(51.0, 756.5)	(52.0, 602.5)	(53.0, 454.5)	(54.0, 353.5)	(55.0, 302.0)	(56.0, 248.5)	(57.0, 177.5)	(58.0, 132.0)	(59.0, 118.0)	(60.0, 101.5)	(61.0, 79.5)	(62.0, 68.0)	(63.0, 64.5)	(64.0, 49.0)	(65.0, 42.0)	(66.0, 34.0)	(67.0, 28.5)	(68.0, 26.5)	(69.0, 23.5)	(70.0, 26.0)	(71.0, 22.0)	(72.0, 17.5)	(73.0, 18.0)	(74.0, 10.5)	(75.0, 6.5)	(76.0, 9.5)	(77.0, 8.0)	(78.0, 8.5)	(79.0, 9.0)	(80.0, 10.0)	(81.0, 10.0)	(82.0, 6.5)	(83.0, 8.0)	(84.0, 7.0)	(85.0, 5.5)	(86.0, 7.0)	(87.0, 6.0)	(88.0, 3.5)	(89.0, 4.0)	(90.0, 5.5)	(91.0, 4.5)	(92.0, 4.5)	(93.0, 4.5)	(94.0, 3.0)	(95.0, 1.5)	(96.0, 3.0)	(97.0, 5.5)	(98.0, 9.5)	(99.0, 10.0)	(100.0, 26.0)
