Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR21014913_1	(14.0, 1.0)	(15.0, 3.0)	(16.0, 5.0)	(17.0, 19.0)	(18.0, 34.0)	(19.0, 75.0)	(20.0, 107.0)	(21.0, 186.0)	(22.0, 293.0)	(23.0, 444.0)	(24.0, 707.0)	(25.0, 1047.0)	(26.0, 1576.0)	(27.0, 2395.0)	(28.0, 3455.0)	(29.0, 4882.0)	(30.0, 6873.0)	(31.0, 9289.0)	(32.0, 13038.0)	(33.0, 19723.0)	(34.0, 35748.0)	(35.0, 83961.0)	(36.0, 186346.0)	(37.0, 5058.0)												
SRR21014913_2	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 3.0)	(14.0, 19.0)	(15.0, 33.0)	(16.0, 52.0)	(17.0, 64.0)	(18.0, 80.0)	(19.0, 145.0)	(20.0, 242.0)	(21.0, 408.0)	(22.0, 617.0)	(23.0, 1024.0)	(24.0, 1434.0)	(25.0, 1939.0)	(26.0, 2640.0)	(27.0, 3500.0)	(28.0, 4780.0)	(29.0, 6120.0)	(30.0, 8371.0)	(31.0, 11597.0)	(32.0, 16289.0)	(33.0, 25744.0)	(34.0, 44291.0)	(35.0, 93788.0)	(36.0, 149367.0)	(37.0, 2716.0)
SRR21014914_1	(14.0, 2.0)	(15.0, 5.0)	(16.0, 19.0)	(17.0, 34.0)	(18.0, 65.0)	(19.0, 116.0)	(20.0, 188.0)	(21.0, 295.0)	(22.0, 426.0)	(23.0, 681.0)	(24.0, 1054.0)	(25.0, 1579.0)	(26.0, 2433.0)	(27.0, 3525.0)	(28.0, 4942.0)	(29.0, 7149.0)	(30.0, 9619.0)	(31.0, 13103.0)	(32.0, 18812.0)	(33.0, 29204.0)	(34.0, 51051.0)	(35.0, 117871.0)	(36.0, 274627.0)	(37.0, 8978.0)												
SRR21014914_2	(12.0, 1.0)	(13.0, 9.0)	(14.0, 23.0)	(15.0, 39.0)	(16.0, 62.0)	(17.0, 85.0)	(18.0, 116.0)	(19.0, 216.0)	(20.0, 313.0)	(21.0, 592.0)	(22.0, 946.0)	(23.0, 1479.0)	(24.0, 2018.0)	(25.0, 2904.0)	(26.0, 3611.0)	(27.0, 4979.0)	(28.0, 6404.0)	(29.0, 8571.0)	(30.0, 11423.0)	(31.0, 16087.0)	(32.0, 23104.0)	(33.0, 35858.0)	(34.0, 61758.0)	(35.0, 134110.0)	(36.0, 226392.0)	(37.0, 4678.0)										
SRR21015008_1	(14.0, 2.0)	(15.0, 6.0)	(16.0, 15.0)	(17.0, 39.0)	(18.0, 82.0)	(19.0, 88.0)	(20.0, 162.0)	(21.0, 250.0)	(22.0, 388.0)	(23.0, 663.0)	(24.0, 1131.0)	(25.0, 1776.0)	(26.0, 2569.0)	(27.0, 3800.0)	(28.0, 5550.0)	(29.0, 8099.0)	(30.0, 11228.0)	(31.0, 16062.0)	(32.0, 23272.0)	(33.0, 35931.0)	(34.0, 64720.0)	(35.0, 151597.0)	(36.0, 366978.0)	(37.0, 11257.0)												
SRR21015008_2	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 10.0)	(14.0, 30.0)	(15.0, 96.0)	(16.0, 122.0)	(17.0, 156.0)	(18.0, 206.0)	(19.0, 292.0)	(20.0, 498.0)	(21.0, 824.0)	(22.0, 1322.0)	(23.0, 2116.0)	(24.0, 3109.0)	(25.0, 4077.0)	(26.0, 5409.0)	(27.0, 7311.0)	(28.0, 9656.0)	(29.0, 13053.0)	(30.0, 17301.0)	(31.0, 24088.0)	(32.0, 33827.0)	(33.0, 51997.0)	(34.0, 85714.0)	(35.0, 172748.0)	(36.0, 266409.0)	(37.0, 5290.0)
SRR21015019_1	(14.0, 1.0)	(15.0, 7.0)	(16.0, 24.0)	(17.0, 30.0)	(18.0, 71.0)	(19.0, 92.0)	(20.0, 189.0)	(21.0, 299.0)	(22.0, 474.0)	(23.0, 779.0)	(24.0, 1145.0)	(25.0, 1820.0)	(26.0, 2658.0)	(27.0, 3846.0)	(28.0, 5256.0)	(29.0, 7564.0)	(30.0, 10349.0)	(31.0, 14236.0)	(32.0, 20254.0)	(33.0, 30671.0)	(34.0, 54681.0)	(35.0, 127072.0)	(36.0, 297054.0)	(37.0, 9347.0)												
SRR21015019_2	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 16.0)	(14.0, 34.0)	(15.0, 66.0)	(16.0, 93.0)	(17.0, 121.0)	(18.0, 146.0)	(19.0, 258.0)	(20.0, 423.0)	(21.0, 758.0)	(22.0, 1195.0)	(23.0, 1890.0)	(24.0, 2612.0)	(25.0, 3389.0)	(26.0, 4608.0)	(27.0, 6044.0)	(28.0, 7724.0)	(29.0, 10259.0)	(30.0, 13482.0)	(31.0, 19173.0)	(32.0, 26609.0)	(33.0, 40467.0)	(34.0, 68958.0)	(35.0, 142745.0)	(36.0, 231793.0)	(37.0, 5049.0)
SRR21015062_1	(15.0, 9.0)	(16.0, 15.0)	(17.0, 22.0)	(18.0, 53.0)	(19.0, 93.0)	(20.0, 143.0)	(21.0, 210.0)	(22.0, 338.0)	(23.0, 559.0)	(24.0, 891.0)	(25.0, 1200.0)	(26.0, 1887.0)	(27.0, 2837.0)	(28.0, 4048.0)	(29.0, 5551.0)	(30.0, 7972.0)	(31.0, 11207.0)	(32.0, 15442.0)	(33.0, 24559.0)	(34.0, 42762.0)	(35.0, 100794.0)	(36.0, 266072.0)	(37.0, 9680.0)													
SRR21015062_2	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 7.0)	(14.0, 30.0)	(15.0, 41.0)	(16.0, 75.0)	(17.0, 106.0)	(18.0, 126.0)	(19.0, 189.0)	(20.0, 303.0)	(21.0, 567.0)	(22.0, 884.0)	(23.0, 1358.0)	(24.0, 1937.0)	(25.0, 2657.0)	(26.0, 3541.0)	(27.0, 4523.0)	(28.0, 5914.0)	(29.0, 7802.0)	(30.0, 10477.0)	(31.0, 14540.0)	(32.0, 20800.0)	(33.0, 31932.0)	(34.0, 55142.0)	(35.0, 118645.0)	(36.0, 209699.0)	(37.0, 5044.0)
