Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR21014913_1	(1.0, 48.734066929387154)	(2.0, 24.481098119784285)	(3.0, 12.511919169981178)	(4.0, 6.690438394749837)	(5.0, 3.3853872796874374)	(6.0, 1.8305692278160222)	(7.0, 0.9968696635565962)	(8.0, 0.5541543227705382)	(9.0, 0.3545898004793307)	('>10', 0.46090709178759104)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR21014913_2	(1.0, 54.188339175598145)	(2.0, 23.418689213650275)	(3.0, 11.191521546047605)	(4.0, 5.571430792440718)	(5.0, 2.8238367278349092)	(6.0, 1.3079345063375165)	(7.0, 0.6622097683507718)	(8.0, 0.3903034673299056)	(9.0, 0.21975695877174353)	('>10', 0.2259778436384323)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR21014914_1	(1.0, 49.88746288680071)	(2.0, 24.99812336003378)	(3.0, 12.257474912096944)	(4.0, 6.077919536570894)	(5.0, 3.102719593085978)	(6.0, 1.7200011833502782)	(7.0, 0.8871540946004196)	(8.0, 0.4806295108445835)	(9.0, 0.24136811633940444)	('>10', 0.3471468062770267)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR21014914_2	(1.0, 55.05229690807969)	(2.0, 23.62102051270651)	(3.0, 11.099297892478052)	(4.0, 5.166344594795022)	(5.0, 2.517069666799574)	(6.0, 1.3027482647708435)	(7.0, 0.5803746267448615)	(8.0, 0.31334086977917086)	(9.0, 0.15291173126494814)	('>10', 0.18297967978471955)	('>50', 0.011615252796604175)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR21015008_1	(1.0, 51.68966770418192)	(2.0, 23.926883216871225)	(3.0, 11.518801691685002)	(4.0, 5.966824906660088)	(5.0, 2.9630228205358233)	(6.0, 1.777441820546326)	(7.0, 0.8763316816655196)	(8.0, 0.5626975085862654)	(9.0, 0.2758050286133567)	('>10', 0.4425236206544652)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR21015008_2	(1.0, 57.356109646407795)	(2.0, 22.324264302939618)	(3.0, 10.216906773695177)	(4.0, 4.900363616101139)	(5.0, 2.432487176044887)	(6.0, 1.2515674426272216)	(7.0, 0.7089976765386264)	(8.0, 0.3858266611321779)	(9.0, 0.17077436068978655)	('>10', 0.23979046170088)	('>50', 0.012911882122716644)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR21015019_1	(1.0, 51.97917579509481)	(2.0, 23.53381633374754)	(3.0, 11.518131177235361)	(4.0, 5.9778213290781546)	(5.0, 3.05163422397315)	(6.0, 1.7169243070188633)	(7.0, 0.89585582586532)	(8.0, 0.4963309586473051)	(9.0, 0.3205128096041108)	('>10', 0.5097972397353944)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR21015019_2	(1.0, 57.321005002848516)	(2.0, 22.253831429294724)	(3.0, 10.21077152731466)	(4.0, 4.951427799496861)	(5.0, 2.5172357047640093)	(6.0, 1.2475533488985444)	(7.0, 0.6648487481332017)	(8.0, 0.34269626599255254)	(9.0, 0.19394079162070205)	('>10', 0.27764744866960467)	('>50', 0.019041932966643294)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR21015062_1	(1.0, 54.198716418680284)	(2.0, 23.59150060676373)	(3.0, 11.101743958728592)	(4.0, 5.267410630878417)	(5.0, 2.6896370713386784)	(6.0, 1.4110839213155677)	(7.0, 0.7784529831110708)	(8.0, 0.3671042301490356)	(9.0, 0.27070275748154154)	('>10', 0.32364742155308035)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR21015062_2	(1.0, 58.716016512943504)	(2.0, 22.47903982853584)	(3.0, 9.912774263115027)	(4.0, 4.480373431437608)	(5.0, 2.1641342854049586)	(6.0, 1.1171015727661193)	(7.0, 0.5176599391816267)	(8.0, 0.26370974487735344)	(9.0, 0.18065899750456144)	('>10', 0.15623047396292455)	('>50', 0.012300950270469267)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
