Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR21014913_1	(25, 19.0)	(30, 13.0)	(35, 20.0)	(40, 19.0)	(45, 39.0)	(50, 39.0)	(55, 58.0)	(60, 79.0)	(65, 86.0)	(70, 82.0)	(75, 112.0)	(80, 116.0)	(85, 125.0)	(90, 151.0)	(95, 174.0)	(100, 213.0)	(105, 239.0)	(110, 281.0)	(115, 311.0)	(120, 315.0)	(125, 446.0)	(130, 433.0)	(135, 716.0)	(140, 371179.0)
SRR21014913_2	(35, 42.0)	(40, 22.0)	(45, 37.0)	(50, 45.0)	(55, 56.0)	(60, 70.0)	(65, 107.0)	(70, 100.0)	(75, 127.0)	(80, 108.0)	(85, 154.0)	(90, 173.0)	(95, 168.0)	(100, 229.0)	(105, 232.0)	(110, 274.0)	(115, 286.0)	(120, 347.0)	(125, 350.0)	(130, 410.0)	(135, 502.0)	(140, 526.0)	(145, 36909.0)	(150, 333991.0)
SRR21014914_1	(25, 20.0)	(30, 25.0)	(35, 32.0)	(40, 41.0)	(45, 67.0)	(50, 74.0)	(55, 83.0)	(60, 99.0)	(65, 118.0)	(70, 146.0)	(75, 182.0)	(80, 240.0)	(85, 253.0)	(90, 297.0)	(95, 255.0)	(100, 379.0)	(105, 388.0)	(110, 471.0)	(115, 574.0)	(120, 581.0)	(125, 695.0)	(130, 754.0)	(135, 1181.0)	(140, 538823.0)
SRR21014914_2	(35, 57.0)	(40, 36.0)	(45, 51.0)	(50, 84.0)	(55, 110.0)	(60, 103.0)	(65, 133.0)	(70, 141.0)	(75, 170.0)	(80, 238.0)	(85, 274.0)	(90, 285.0)	(95, 338.0)	(100, 355.0)	(105, 346.0)	(110, 452.0)	(115, 514.0)	(120, 574.0)	(125, 638.0)	(130, 688.0)	(135, 818.0)	(140, 880.0)	(145, 53535.0)	(150, 484958.0)
SRR21015008_1	(25, 30.0)	(30, 37.0)	(35, 45.0)	(40, 56.0)	(45, 63.0)	(50, 90.0)	(55, 102.0)	(60, 98.0)	(65, 149.0)	(70, 144.0)	(75, 203.0)	(80, 227.0)	(85, 227.0)	(90, 298.0)	(95, 303.0)	(100, 348.0)	(105, 397.0)	(110, 502.0)	(115, 523.0)	(120, 626.0)	(125, 644.0)	(130, 751.0)	(135, 1061.0)	(140, 698741.0)
SRR21015008_2	(35, 83.0)	(40, 59.0)	(45, 80.0)	(50, 89.0)	(55, 126.0)	(60, 177.0)	(65, 165.0)	(70, 181.0)	(75, 231.0)	(80, 255.0)	(85, 297.0)	(90, 317.0)	(95, 352.0)	(100, 412.0)	(105, 438.0)	(110, 473.0)	(115, 533.0)	(120, 688.0)	(125, 705.0)	(130, 747.0)	(135, 803.0)	(140, 1008.0)	(145, 67631.0)	(150, 629815.0)
SRR21015019_1	(25, 54.0)	(30, 33.0)	(35, 49.0)	(40, 51.0)	(45, 76.0)	(50, 81.0)	(55, 113.0)	(60, 121.0)	(65, 126.0)	(70, 135.0)	(75, 204.0)	(80, 192.0)	(85, 250.0)	(90, 311.0)	(95, 311.0)	(100, 341.0)	(105, 434.0)	(110, 415.0)	(115, 477.0)	(120, 567.0)	(125, 590.0)	(130, 763.0)	(135, 1002.0)	(140, 581223.0)
SRR21015019_2	(35, 106.0)	(40, 49.0)	(45, 76.0)	(50, 84.0)	(55, 133.0)	(60, 155.0)	(65, 163.0)	(70, 177.0)	(75, 203.0)	(80, 240.0)	(85, 273.0)	(90, 285.0)	(95, 379.0)	(100, 382.0)	(105, 414.0)	(110, 457.0)	(115, 510.0)	(120, 518.0)	(125, 612.0)	(130, 648.0)	(135, 786.0)	(140, 889.0)	(145, 57253.0)	(150, 523127.0)
SRR21015062_1	(25, 39.0)	(30, 33.0)	(35, 41.0)	(40, 49.0)	(45, 60.0)	(50, 79.0)	(55, 98.0)	(60, 137.0)	(65, 138.0)	(70, 173.0)	(75, 165.0)	(80, 220.0)	(85, 271.0)	(90, 307.0)	(95, 393.0)	(100, 388.0)	(105, 376.0)	(110, 462.0)	(115, 536.0)	(120, 662.0)	(125, 774.0)	(130, 871.0)	(135, 1208.0)	(140, 488864.0)
SRR21015062_2	(35, 70.0)	(40, 45.0)	(45, 65.0)	(50, 93.0)	(55, 120.0)	(60, 156.0)	(65, 155.0)	(70, 197.0)	(75, 172.0)	(80, 257.0)	(85, 235.0)	(90, 276.0)	(95, 358.0)	(100, 386.0)	(105, 453.0)	(110, 446.0)	(115, 478.0)	(120, 545.0)	(125, 664.0)	(130, 774.0)	(135, 917.0)	(140, 975.0)	(145, 48609.0)	(150, 439898.0)
