Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR21014913_1	31.907410931458912	24.0	141.65689579363917	142	10.0	0.37526499999999996
SRR21014913_2	28.00791645490709	25.0	150.15434159860365	151	10.0	0.37526499999999996
SRR21014914_1	30.856427566359528	25.0	141.59917768763123	142	10.0	0.545778
SRR21014914_2	27.269411602550434	26.0	150.09536478201758	151	10.0	0.545778
SRR21015008_1	29.861863633384246	23.0	141.67622738835	142	10.0	0.705665
SRR21015008_2	25.96542540573668	26.0	150.15240234388838	151	10.0	0.705665
SRR21015019_1	29.75237542186278	24.0	141.61407949054205	142	10.0	0.587919
SRR21015019_2	26.014761521744788	26.0	150.08816010368776	151	10.0	0.587919
SRR21015062_1	27.99848555806868	24.0	141.51790492078075	142	10.0	0.49634399999999995
SRR21015062_2	24.859610079137383	26.0	149.99524523314474	151	10.0	0.49634399999999995
