## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /Volumes/T7/GTMBioinfo/aligned/PBMC_C_MB014.chr12.sorted.bam --OUTPUT /Volumes/T7/GTMBioinfo/variants_low_threshold/PBMC_C_MB014.chr12.dedup.relaxed.bam --METRICS_FILE /Volumes/T7/GTMBioinfo/variants_low_threshold/PBMC_C_MB014.metrics.relaxed.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 15 00:42:10 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	38079	139664	5295	842219	14158	31787	0	0.244897	258249

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	86395	86395
2.0	1.582274	15155	15155
3.0	1.921319	4116	4116
4.0	2.118736	1274	1274
5.0	2.233688	513	513
6.0	2.300621	219	219
7.0	2.339595	104	104
8.0	2.362288	48	48
9.0	2.375502	30	30
10.0	2.383196	12	12
11.0	2.387676	5	5
12.0	2.390285	3	3
13.0	2.391804	1	1
14.0	2.392688	0	0
15.0	2.393203	2	2
16.0	2.393503	0	0
17.0	2.393677	0	0
18.0	2.393779	0	0
19.0	2.393838	0	0
20.0	2.393873	0	0
21.0	2.393893	0	0
22.0	2.393905	0	0
23.0	2.393911	0	0
24.0	2.393915	0	0
25.0	2.393918	0	0
26.0	2.393919	0	0
27.0	2.39392	0	0
28.0	2.39392	0	0
29.0	2.39392	0	0
30.0	2.393921	0	0
31.0	2.393921	0	0
32.0	2.393921	0	0
33.0	2.393921	0	0
34.0	2.393921	0	0
35.0	2.393921	0	0
36.0	2.393921	0	0
37.0	2.393921	0	0
38.0	2.393921	0	0
39.0	2.393921	0	0
40.0	2.393921	0	0
41.0	2.393921	0	0
42.0	2.393921	0	0
43.0	2.393921	0	0
44.0	2.393921	0	0
45.0	2.393921	0	0
46.0	2.393921	0	0
47.0	2.393921	0	0
48.0	2.393921	0	0
49.0	2.393921	0	0
50.0	2.393921	0	0
51.0	2.393921	0	0
52.0	2.393921	0	0
53.0	2.393921	0	0
54.0	2.393921	0	0
55.0	2.393921	0	0
56.0	2.393921	0	0
57.0	2.393921	0	0
58.0	2.393921	0	0
59.0	2.393921	0	0
60.0	2.393921	0	0
61.0	2.393921	0	0
62.0	2.393921	0	0
63.0	2.393921	0	0
64.0	2.393921	0	0
65.0	2.393921	0	0
66.0	2.393921	0	0
67.0	2.393921	0	0
68.0	2.393921	0	0
69.0	2.393921	0	0
70.0	2.393921	0	0
71.0	2.393921	0	0
72.0	2.393921	0	0
73.0	2.393921	0	0
74.0	2.393921	0	0
75.0	2.393921	0	0
76.0	2.393921	0	0
77.0	2.393921	0	0
78.0	2.393921	0	0
79.0	2.393921	0	0
80.0	2.393921	0	0
81.0	2.393921	0	0
82.0	2.393921	0	0
83.0	2.393921	0	0
84.0	2.393921	0	0
85.0	2.393921	0	0
86.0	2.393921	0	0
87.0	2.393921	0	0
88.0	2.393921	0	0
89.0	2.393921	0	0
90.0	2.393921	0	0
91.0	2.393921	0	0
92.0	2.393921	0	0
93.0	2.393921	0	0
94.0	2.393921	0	0
95.0	2.393921	0	0
96.0	2.393921	0	0
97.0	2.393921	0	0
98.0	2.393921	0	0
99.0	2.393921	0	0
100.0	2.393921	0	0

